site_name,subsite,biome_id,biome_name,environmental_feature_id,environmental_feature_name
Station E,Area I,,,,
Station C,Area II,,,,
Station D,Area II,,,,
Station F,Area II,,,,
Station G,Area II,,,,
Station H,Area II,,,,
Station E,Area III,,,,
Station D,Area III,,,,
Station I,Area III,,,,
Station J,Area III,,,,
Station A,Area II,,,,
Station B,Area II,,,,
Station A,Area III,,,,
Station B,Area III,,,,
Station C,Area III,,,,
Station D,Area I,,,,
Station C,Area I,,,,
Station A,Area I,,,,
Station B,Area I,,,,
Station E,Area II,,,,
Station F,Area III,,,,
No Station,Area III,,,,
Station O,Area II,,,,
No Station,Area II,,,,
Average,Area I,,,,
Average,Area II,,,,
Average,Area III,,,,
Station 1,Marion Sippican Harbor,,,,
Station 2,Marion Sippican Harbor,,,,
Station 3,Marion Sippican Harbor,,,,
Station R08,Marion Sippican Harbor,,,,
Station R11,Marion Sippican Harbor,,,,
Station R14,Marion Sippican Harbor,,,,
Station R02,Marion Sippican Harbor,,,,
Station R05,Marion Sippican Harbor,,,,
Station R09,Marion Sippican Harbor,,,,
Station 1,Area II,,,,
Station 1,Off-site,,,,
Station 2,Off-site,,,,
Station3,Off-site,,,,
Average,Marion Sippican Harbor,,,,
Average,Off-site,,,,
No Station,Off-site,,,,
Arbitrary Station A,Area II,,,,
Arbitrary Station A,Area III,,,,
Arbitrary Station B,Area III,,,,
Arbitrary Station C,Area III,,,,
Arbitrary Station D,Area III,,,,
Arbitrary Station E,Area III,,,,
Arbitrary Station E,Area II,,,,
Arbitrary Station F,Area III,,,,
